candidate,fold,inner_prauc,prauc,roc_auc,recall_at_20
HGB d=2 lr=.05 it=100 [S0],9,0.052566339311634194,0.08983746904799537,0.4867256637168142,0.4
HGB d=3 lr=.05 it=200 [S0],9,0.04883946692483173,0.08378684245307957,0.5345132743362833,0.4
HGB d=2 강한 규제 [S0],9,0.037575490462705224,0.07478915991369164,0.568141592920354,0.4
SVM RBF [S0],9,0.06847925677191957,0.05200092004215716,0.44601769911504424,0.2
kNN k=15 [S0],9,0.039294567750774854,0.04217903759984414,0.4495575221238938,0.0
Naive Bayes [S0],9,0.041147896551503166,0.07390032588253873,0.4849557522123894,0.2
LogReg L2 C=0.1 [S2],9,0.03381556620846608,0.15040218603823208,0.5893805309734513,0.2
RF leaf=5 [S2],9,0.035741232854966686,0.04434700777797628,0.44601769911504424,0.0
HGB d=2 강한 규제 [S2],9,0.03815218586627991,0.09985495224896143,0.5592920353982301,0.4
LogReg L2 C=0.1 [S3],9,0.03714439122250953,0.05468047684189955,0.5168141592920354,0.2
RF leaf=5 [S3],9,0.03211221141351875,0.06053029829441857,0.5433628318584071,0.2
HGB d=2 강한 규제 [S3],9,0.03240368045030466,0.06603398394523449,0.40884955752212393,0.2
LogReg L2 C=0.01 [S0],10,0.03111735180402862,0.04718051806867596,0.4824561403508772,0.0
LogReg L2 C=0.1 [S0],10,0.032298516610706096,0.045241462241462235,0.4649122807017544,0.2
LogReg L2 C=1 [S0],10,0.031065606957813904,0.0425660469667319,0.43157894736842106,0.0
LogReg L1 C=0.05 [S0],10,0.030156772071864422,0.0701045470819907,0.5824561403508772,0.4
LogReg L1 C=0.3 [S0],10,0.032031985688685705,0.04666170407676071,0.4842105263157895,0.0
RF leaf=1 [S0],10,0.0473792406154814,0.03696041345600025,0.27631578947368424,0.0
RF leaf=5 [S0],10,0.042458994623389985,0.038600225105786916,0.37719298245614036,0.0
RF leaf=20 [S0],10,0.03332804400139323,0.03809121563794461,0.3736842105263158,0.0
