algo,imbalance,fold,n_train_normals,n_test_normals,prauc,roc_auc,prevalence,n_test,n_pos_test,recall_at_5,recall_at_10,recall_at_20,thr_F1max,f1_F1max,recall_F1max,precision_F1max,flag_rate_F1max,thr_Recall80,f1_Recall80,recall_Recall80,precision_Recall80,flag_rate_Recall80
Mahalanobis,normal_only,31,453,113,0.07000395029806794,0.5575221238938053,0.0423728813559322,118,5,0.0,0.2,0.4,0.3035704100379048,0.08771929824561403,1.0,0.045871559633027525,0.923728813559322,0.38600752279692047,0.10204081632653061,1.0,0.053763440860215055,0.788135593220339
Mahalanobis,normal_only,32,453,113,0.0519204467030554,0.5256637168141594,0.0423728813559322,118,5,0.0,0.0,0.2,0.6790773596904767,0.06451612903225806,0.2,0.038461538461538464,0.22033898305084745,0.37326068458590983,0.0970873786407767,1.0,0.05102040816326531,0.8305084745762712
Mahalanobis,normal_only,33,453,113,0.045674783104121576,0.39292035398230085,0.0423728813559322,118,5,0.0,0.0,0.2,0.6760655932453855,0.07142857142857142,0.2,0.043478260869565216,0.19491525423728814,0.37522011537847,0.06666666666666667,0.6,0.03529411764705882,0.7203389830508474
Mahalanobis,normal_only,34,453,113,0.03843548619797901,0.32389380530973455,0.0423728813559322,118,5,0.0,0.0,0.2,0.595750295186896,0.044444444444444446,0.2,0.025,0.3389830508474576,0.38594000552584246,0.0449438202247191,0.4,0.023809523809523808,0.711864406779661
Mahalanobis,normal_only,35,452,114,0.09807897880902974,0.48947368421052634,0.04201680672268908,119,5,0.2,0.2,0.4,0.715803538117473,0.125,0.4,0.07407407407407407,0.226890756302521,0.36262159732083565,0.057692307692307696,0.6,0.030303030303030304,0.8319327731092437
Mahalanobis,normal_only,36,453,113,0.048309772069362864,0.4831858407079646,0.0423728813559322,118,5,0.0,0.0,0.0,0.7504653782702005,0.0,0.0,0.0,0.1694915254237288,0.3806302258957397,0.08421052631578947,0.8,0.044444444444444446,0.7627118644067796
Mahalanobis,normal_only,37,453,113,0.0690690341157631,0.6123893805309736,0.0423728813559322,118,5,0.0,0.0,0.2,0.21507305646755417,0.08333333333333333,1.0,0.043478260869565216,0.9745762711864406,0.3529153993074314,0.07692307692307693,0.8,0.04040404040404041,0.8389830508474576
Mahalanobis,normal_only,38,453,113,0.0313950102675698,0.22477876106194694,0.0423728813559322,118,5,0.0,0.0,0.0,0.7319247986445945,0.0,0.0,0.0,0.17796610169491525,0.3800581260616216,0.06315789473684211,0.6,0.03333333333333333,0.7627118644067796
Mahalanobis,normal_only,39,453,113,0.05568964234282738,0.5327433628318584,0.0423728813559322,118,5,0.0,0.0,0.2,0.6665295899455896,0.08,0.2,0.05,0.1694915254237288,0.36074263545588486,0.09900990099009901,1.0,0.052083333333333336,0.8135593220338984
Mahalanobis,normal_only,40,452,114,0.08767499207655977,0.6263157894736843,0.04201680672268908,119,5,0.0,0.2,0.4,0.29646246395207004,0.08928571428571429,1.0,0.04672897196261682,0.8991596638655462,0.3772926522143369,0.08163265306122448,0.8,0.043010752688172046,0.7815126050420168
Mahalanobis,normal_only,41,453,113,0.05455392308840584,0.47256637168141596,0.0423728813559322,118,5,0.0,0.0,0.2,0.23843093429166562,0.06896551724137931,0.8,0.036036036036036036,0.940677966101695,0.3582565825473188,0.08163265306122448,0.8,0.043010752688172046,0.788135593220339
Mahalanobis,normal_only,42,453,113,0.06112731387960746,0.552212389380531,0.0423728813559322,118,5,0.0,0.0,0.4,0.33717914081750205,0.07547169811320754,0.8,0.039603960396039604,0.8559322033898306,0.38007863872256376,0.08163265306122448,0.8,0.043010752688172046,0.788135593220339
Mahalanobis,normal_only,43,453,113,0.033710122960184837,0.2867256637168142,0.0423728813559322,118,5,0.0,0.0,0.0,0.6885542918112832,0.0,0.0,0.0,0.2457627118644068,0.4192998797884806,0.0449438202247191,0.4,0.023809523809523808,0.711864406779661
Mahalanobis,normal_only,44,453,113,0.06010337202874516,0.45486725663716815,0.0423728813559322,118,5,0.0,0.2,0.2,0.6675296291789238,0.05405405405405406,0.2,0.03125,0.2711864406779661,0.36380938528289064,0.0761904761904762,0.8,0.04,0.847457627118644
Mahalanobis,normal_only,45,452,114,0.03917480660530095,0.3508771929824562,0.04201680672268908,119,5,0.0,0.0,0.0,0.7358118888336209,0.0,0.0,0.0,0.19327731092436976,0.38578734195882886,0.06315789473684211,0.6,0.03333333333333333,0.7563025210084033
Mahalanobis,normal_only,46,453,113,0.04830248035619801,0.44424778761061945,0.0423728813559322,118,5,0.0,0.0,0.2,0.6872452393674382,0.06666666666666667,0.2,0.04,0.211864406779661,0.3896541127695087,0.08695652173913043,0.8,0.04597701149425287,0.7372881355932204
Mahalanobis,normal_only,47,453,113,0.11279743760946767,0.727433628318584,0.0423728813559322,118,5,0.2,0.2,0.6,0.178908724875436,0.08196721311475409,1.0,0.042735042735042736,0.9915254237288136,0.30967756392853135,0.09259259259259259,1.0,0.04854368932038835,0.8728813559322034
Mahalanobis,normal_only,48,453,113,0.03801482183462824,0.368141592920354,0.0423728813559322,118,5,0.0,0.0,0.0,0.8059505933967471,0.0,0.0,0.0,0.13559322033898305,0.36485712033041445,0.07920792079207921,0.8,0.041666666666666664,0.8135593220338984
