feature,bin,rule,n_normal,fp,fp_rate,n_defect,fn,fn_rate
Barrel_Temperature_3,"Q2 [-0.62, -0.00]",Recall80,137,131,0.9562043795620438,11,0,0.0
Barrel_Temperature_3,"Q3 [-0.00, 0.31]",Recall80,144,143,0.9930555555555556,3,0,0.0
Barrel_Temperature_3,"Q4 [0.31, 2.46]",Recall80,143,133,0.9300699300699301,5,1,0.2
Barrel_Temperature_4,"Q1 [-2.29, -0.98]",F1max,142,62,0.43661971830985913,6,3,0.5
Barrel_Temperature_4,"Q2 [-0.98, 0.05]",F1max,142,64,0.4507042253521127,6,4,0.6666666666666666
Barrel_Temperature_4,"Q3 [0.05, 0.93]",F1max,140,61,0.4357142857142857,7,3,0.42857142857142855
Barrel_Temperature_4,"Q4 [0.93, 2.10]",F1max,142,66,0.4647887323943662,6,4,0.6666666666666666
Barrel_Temperature_4,"Q1 [-2.29, -0.98]",Recall80,142,133,0.9366197183098591,6,0,0.0
Barrel_Temperature_4,"Q2 [-0.98, 0.05]",Recall80,142,138,0.971830985915493,6,0,0.0
Barrel_Temperature_4,"Q3 [0.05, 0.93]",Recall80,140,139,0.9928571428571429,7,1,0.14285714285714285
Barrel_Temperature_4,"Q4 [0.93, 2.10]",Recall80,142,133,0.9366197183098591,6,0,0.0
Barrel_Temperature_5,"Q1 [-4.42, -0.66]",F1max,145,28,0.19310344827586207,3,2,0.6666666666666666
Barrel_Temperature_5,"Q2 [-0.66, -0.03]",F1max,143,70,0.48951048951048953,5,1,0.2
Barrel_Temperature_5,"Q3 [-0.03, 0.60]",F1max,139,74,0.5323741007194245,8,6,0.75
Barrel_Temperature_5,"Q4 [0.60, 4.36]",F1max,139,81,0.5827338129496403,9,5,0.5555555555555556
Barrel_Temperature_5,"Q1 [-4.42, -0.66]",Recall80,145,130,0.896551724137931,3,0,0.0
Barrel_Temperature_5,"Q2 [-0.66, -0.03]",Recall80,143,142,0.993006993006993,5,0,0.0
Barrel_Temperature_5,"Q3 [-0.03, 0.60]",Recall80,139,135,0.9712230215827338,8,1,0.125
Barrel_Temperature_5,"Q4 [0.60, 4.36]",Recall80,139,136,0.9784172661870504,9,0,0.0
Barrel_Temperature_6,"Q1 [-2.84, -0.85]",F1max,144,52,0.3611111111111111,4,4,1.0
Barrel_Temperature_6,"Q2 [-0.85, 0.14]",F1max,140,64,0.45714285714285713,8,2,0.25
Barrel_Temperature_6,"Q3 [0.14, 0.64]",F1max,139,74,0.5323741007194245,8,5,0.625
Barrel_Temperature_6,"Q4 [0.64, 2.63]",F1max,143,63,0.4405594405594406,5,3,0.6
Barrel_Temperature_6,"Q1 [-2.84, -0.85]",Recall80,144,135,0.9375,4,1,0.25
Barrel_Temperature_6,"Q2 [-0.85, 0.14]",Recall80,140,133,0.95,8,0,0.0
Barrel_Temperature_6,"Q3 [0.14, 0.64]",Recall80,139,136,0.9784172661870504,8,0,0.0
Barrel_Temperature_6,"Q4 [0.64, 2.63]",Recall80,143,139,0.972027972027972,5,0,0.0
Hopper_Temperature,"Q1 [-3.07, -0.53]",F1max,142,75,0.528169014084507,6,4,0.6666666666666666
Hopper_Temperature,"Q2 [-0.53, 0.08]",F1max,141,63,0.44680851063829785,7,5,0.7142857142857143
Hopper_Temperature,"Q3 [0.08, 0.79]",F1max,138,67,0.4855072463768116,9,3,0.3333333333333333
Hopper_Temperature,"Q4 [0.79, 2.12]",F1max,145,48,0.3310344827586207,3,2,0.6666666666666666
Hopper_Temperature,"Q1 [-3.07, -0.53]",Recall80,142,138,0.971830985915493,6,1,0.16666666666666666
Hopper_Temperature,"Q2 [-0.53, 0.08]",Recall80,141,134,0.950354609929078,7,0,0.0
Hopper_Temperature,"Q3 [0.08, 0.79]",Recall80,138,138,1.0,9,0,0.0
Hopper_Temperature,"Q4 [0.79, 2.12]",Recall80,145,133,0.9172413793103448,3,0,0.0
Mold_Temperature_3,"Q1 [-1.96, -0.82]",F1max,144,66,0.4583333333333333,4,4,1.0
Mold_Temperature_3,"Q2 [-0.82, 0.17]",F1max,136,71,0.5220588235294118,12,6,0.5
Mold_Temperature_3,"Q3 [0.17, 0.89]",F1max,144,61,0.4236111111111111,3,1,0.3333333333333333
Mold_Temperature_3,"Q4 [1.03, 1.60]",F1max,142,55,0.3873239436619718,6,3,0.5
Mold_Temperature_3,"Q1 [-1.96, -0.82]",Recall80,144,138,0.9583333333333334,4,1,0.25
Mold_Temperature_3,"Q2 [-0.82, 0.17]",Recall80,136,133,0.9779411764705882,12,0,0.0
Mold_Temperature_3,"Q3 [0.17, 0.89]",Recall80,144,139,0.9652777777777778,3,0,0.0
Mold_Temperature_3,"Q4 [1.03, 1.60]",Recall80,142,133,0.9366197183098591,6,0,0.0
Mold_Temperature_4,"Q1 [-2.06, -0.85]",F1max,142,61,0.4295774647887324,6,4,0.6666666666666666
Mold_Temperature_4,"Q2 [-0.85, 0.00]",F1max,139,76,0.5467625899280576,9,5,0.5555555555555556
Mold_Temperature_4,"Q3 [0.00, 1.09]",F1max,143,59,0.4125874125874126,4,2,0.5
Mold_Temperature_4,"Q4 [1.09, 1.82]",F1max,142,57,0.4014084507042254,6,3,0.5
Mold_Temperature_4,"Q1 [-2.06, -0.85]",Recall80,142,136,0.9577464788732394,6,0,0.0
Mold_Temperature_4,"Q2 [-0.85, 0.00]",Recall80,139,136,0.9784172661870504,9,1,0.1111111111111111
Mold_Temperature_4,"Q3 [0.00, 1.09]",Recall80,143,137,0.958041958041958,4,0,0.0
Mold_Temperature_4,"Q4 [1.09, 1.82]",Recall80,142,134,0.9436619718309859,6,0,0.0
